5-Minute Crafts PLAY	노하우/스타일	1720만	/youtube/channel/UC57XAjJ04TY8gNxOWf-Sy0Q
TheWillyrex	게임	1720만	/youtube/channel/UC4LHNX8d8RqnDX0OezgmCTg
Michael Jackson	인물/블로그음악	1720만	/youtube/channel/UC5OrDvL9DscpcAstz7JnQGA
Lil pump	음악	1720만	/youtube/channel/UC6pjHMC4QXMi4llCCjtDXWg
netd müzik	음악	1720만	/youtube/channel/UCR5wZcXtOUka8jTA57flzMg
Sia	음악	1720만	/youtube/channel/UCN9HPn2fq-NL8M5_kp4RWZQ
Calvin Harris	음악	1720만	/youtube/channel/UCIjYyZxkFucP_W-tmXg_9Ow
Anuel AA	음악	1710만	/youtube/channel/UCRI7hheejBbWS6etTNwMT0g
Technical Guruji	과학기술	1710만	/youtube/channel/UCOhHO2ICt0ti9KAh-QHvttQ
Lady Gaga	음악	1700만	/youtube/channel/UCNL1ZadSjHpjm4q9j2sVtOA
PopularMMOs	게임	1700만	/youtube/channel/UCpGdL9Sn3Q5YWUH2DVUW1Ug
Desi Music Factory	음악	1690만	/youtube/channel/UCLtNvbkqea8wN_kGtfgx_Mw
TheDonato	게임	1690만	/youtube/channel/UCaHEdZtk6k7SVP-umnzifmQ
mmoshaya	엔터테인먼트	1690만	/youtube/channel/UCPOw2O3_uZ1doro9iR4x6vw
ABP NEWS HINDI	뉴스/정치	1690만	/youtube/channel/UCmphdqZNmqL72WJ2uyiNw5w
Ali-A	게임	1690만	/youtube/channel/UCYVinkwSX7szARULgYpvhLw
Coldplay	음악	1680만	/youtube/channel/UCDPM_n1atn2ijUwHd0NNRQw
Peppa Pig - Official Channel	교육	1680만	/youtube/channel/UCAOtE1V7Ots4DjM8JLlrYgg
Jimmy Kimmel Live	코미디	1680만	/youtube/channel/UCa6vGFO9ty8v5KZJXQxdhaw
Brave Wilderness	동물	1670만	/youtube/channel/UC6E2mP01ZLH_kbAyeazCNdg
Werevertumorro	엔터테인먼트게임	1670만	/youtube/channel/UCzVIrPfZBE-XkBISBybMBLA
Unbox Therapy	과학기술	1670만	/youtube/channel/UCsTcErHg8oDvUnTzoqsYeNw
Wow Kidz	엔터테인먼트	1670만	/youtube/channel/UCN8S4CqMRy6tVKVXvs7Bzeg
BabyBus - Nursery Rhymes	교육	1670만	/youtube/channel/UCpYye8D5fFMUPf9nSfgd4bA
Charlie Puth	음악	1670만	/youtube/channel/UCwppdrjsBPAZg5_cUwQjfMQ
Totoykids	영화/애니메이션	1670만	/youtube/channel/UCy7whoHQXzhYxp9AQmrPFVw
SlivkiShow	엔터테인먼트	1660만	/youtube/channel/UCU_yU4xGT9hrVFo6euH8LLw
Bollywood Classics	음악	1660만	/youtube/channel/UCRm96I5kmb_iGFofE5N691w
KAROL G	음악	1660만	/youtube/channel/UCZuPJZ2kGFdlbQu1qotZaHw
EeOneGuy	엔터테인먼트	1650만	/youtube/channel/UCrFiA0hztL9e8zTi_qBuW4w
Porta dos Fundos	엔터테인먼트	1650만	/youtube/channel/UCEWHPFNilsT0IfQfutVzsag
Doggy Doggy Cartoons	엔터테인먼트	1650만	/youtube/channel/UC_W0_Nv-3rxpWVvosddhrPw
Good Mythical Morning	엔터테인먼트	1640만	/youtube/channel/UC4PooiX37Pld1T8J5SYT-SQ
Lele Pons	엔터테인먼트코미디	1640만	/youtube/channel/UCi9cDo6239RAzPpBZO9y5SA
Cia. Daniel Saboya	음악	1620만	/youtube/channel/UCEUf_uUDUfJJ3XfgwOxm-0A
JukiLop	인물/블로그	1620만	/youtube/channel/UCHDeuavvkVwDyJgRFVfbpXA
Demi Lovato	음악	1620만	/youtube/channel/UCZkURf9tDolFOeuw_4RD7XQ
Becky G	음악	1610만	/youtube/channel/UCgtNC51EUSgcZ6kKyVoPxKA
jypentertainment	음악	1610만	/youtube/channel/UCaO6TYtlC8U5ttz62hTrZgg
GEN HALILINTAR	엔터테인먼트	1610만	/youtube/channel/UCfRNJiafEm1LBBGFTTq4cXw
Caeli	엔터테인먼트	1610만	/youtube/channel/UCGRtuAmEObNSmlOLDWzZfVg
Linkin Park	음악	1610만	/youtube/channel/UCZU9T1ceaOgwfLRq7OKFU4Q
Toys And Little Gaby	엔터테인먼트	1590만	/youtube/channel/UCHwBjRoGO1V-H8QYXjSVHkQ
Sesame Street	엔터테인먼트	1590만	/youtube/channel/UCoookXUzPciGrEZEXmh4Jjg
America's Got Talent	엔터테인먼트	1590만	/youtube/channel/UCT2X19JJaJGUN7mrYuImANQ
Like Nastya Vlog	인물/블로그	1580만	/youtube/channel/UCCI5Xsd_gCbZb9eTeOf9FdQ
Venus Movies	엔터테인먼트	1580만	/youtube/channel/UCpcsv3Ow-8IhoUGDEfPetsQ
